what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451553056902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553057272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553061812
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451553062202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451553063182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553063712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553143584
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451553161464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451553178033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451553179333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553185283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553206853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451553219123
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451553219973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553220313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553223003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451553224803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451553225683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553228803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553267046
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451553269516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553282126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553297764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451553311829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553312889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553344317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553355017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553380649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451553398941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553399641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553483575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451553487445
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451553488156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553488506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553492546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451553492946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451553493626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553494736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553618275
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451553619505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451553689554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553691364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553807479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553821019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553844561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451553850411
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451553851031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553851391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451553856964
