what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542755101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542758153
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451542759463
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451542759673
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451542773793
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451542774033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542777750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542857711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451542885790
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451542886540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542886832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542892989
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451542893546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451542894296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542896996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542970374
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451542973804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451542976724
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451542977354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542977656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542982020
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451542983160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451542983925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542985590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451542986006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451543056267
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451543056802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451543065701
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451543066445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451543066729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451543072334
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451543073740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451543074934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451543077430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451543078053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451543118014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451543118714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451543119264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451543119814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451543120164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451543120714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451543127234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451543133364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451543139804
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451543140444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451543140754
