what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452512231133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512231449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512234737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452512235740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452512237857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512239320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512476647
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452512514979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452512517079
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452512517316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512532496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1452512532527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512544036
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1452512546968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512555609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1452512555625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512565228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452512568893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512569609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512576550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512576966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512599112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512606050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512646456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452512656983
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452512657700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512658000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452512661287
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452512663021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452512663687
