what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1452561023033
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1452561023033
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1452561023071
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1452561023071
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1452561023071
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1452561023071
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1452561023071
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1452561023071
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1452561023071
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1452561023071
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1452561023071
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1452561023071
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1452561023071
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1452561023086
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1452561023086
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1452561023102
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1452561023102
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1452561023102
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1452561023102
os,sysinfo,,,"win32",1452561023102
arch,sysinfo,,,"x86_64",1452561023102
ws,sysinfo,,,"win32",1452561023102
locale,sysinfo,,,"zh_CN",1452561023102
processors,sysinfo,,,"4",1452561023102
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1452561023102
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1452561023102
java.specification.name,sysinfo,,,"Java Platform API Specification",1452561023102
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1452561023102
java.specification.version,sysinfo,,,"1.6",1452561023102
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1452561023102
java.version,sysinfo,,,"1.6.0_23",1452561023102
java.vm.info,sysinfo,,,"mixed mode",1452561023102
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1452561023102
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1452561023102
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1452561023102
java.vm.specification.version,sysinfo,,,"1.0",1452561023102
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1452561023102
java.vm.version,sysinfo,,,"19.0-b09",1452561023102
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1452561023318
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1452561023454
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1452561026722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452561044044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452561046399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452561245860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452561254703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452561315088
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452561315134
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452561319921
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452561319975
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1452561321382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452561332803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452563295771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452563296686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452565223824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452565224189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452566567328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452566571234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452566572019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452566572453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452566699224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452566699687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452567052487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452567052837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452578969868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452578970318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579344713
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452579410076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579411687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579420942
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452579421217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452579424388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579425028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579464177
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452579464304
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452579476947
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452579477135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452579489880
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452579490348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579490673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579495087
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1452579504247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452579510257
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452579511123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579511418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579514481
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452579515212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452579515752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452579516625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580386957
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452580386990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580407393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580436371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580444741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580450804
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1452580485961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580491470
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452580492701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580494057
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1452580494854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580533719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580536142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580541013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580554051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452580576481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452580576834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452580577235
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1452580606243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580617735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580622282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452580630379
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452580633744
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452580633958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580704751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580707241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580708701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580709732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580718409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580721641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580722294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580723129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452580752319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580752909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580753766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580755745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580770589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580771228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580772000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452580774365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452580776594
