what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452505237972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452505238895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505240443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505293277
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452505294308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452505303491
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452505304402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505304724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505307842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452505309374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452505310489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505311742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505372479
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452505380008
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452505386527
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452505386768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452505391649
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452505393117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452505424214
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452505424914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505425214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505428302
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452505429884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452505431788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505432767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505432890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505434205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505434336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505438789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505474576
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452505475330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505475915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505476262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505476561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505476777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505477093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505477278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505477577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505477830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505478113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505478362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505478646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505478946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505479230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505479446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505479715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505480748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505485367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1452505485782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505517105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505522844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452505532827
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452505533696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505533965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505542103
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452505542119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452505542972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452505543356
