what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546826800
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451546828800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546832248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546833428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546841418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546850258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546864090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546876469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451546877209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451546878929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1451546880519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451546885839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451546887189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451546908502
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451546909632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546909952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546914487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451546915007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451547066935
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1451547070405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451547070725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451547072455
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1451547073225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451547073815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451547076134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451547077595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451547120957
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1451547126617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1451547130117
