2.93,-0.11,356.19,1,0
5.80,-0.40,352.51,1,0
8.66,-0.88,348.17,1,0
11.46,-1.61,342.48,1,0
14.17,-2.65,335.72,1,0
16.72,-4.01,328.28,1,0
19.06,-5.72,319.85,1,0
21.13,-7.75,311.77,1,0
22.90,-10.03,304.56,1,0
24.41,-12.51,298.42,1,0
25.66,-15.12,293.54,1,0
26.77,-17.80,292.17,1,0
27.90,-20.47,293.98,1,0
29.16,-23.08,297.57,1,0
30.59,-25.60,301.38,1,0
32.18,-28.03,304.93,1,0
33.92,-30.34,308.61,1,0
35.78,-32.56,311.41,1,0
37.75,-34.69,314.06,1,0
39.80,-36.75,315.65,1,0
41.90,-38.74,317.31,1,0
44.03,-40.70,317.16,1,0
46.15,-42.68,316.75,1,0
48.23,-44.70,314.83,1,0
50.22,-46.79,312.65,1,0
52.17,-48.94,312.04,1,0
54.09,-51.11,311.21,1,0
56.01,-53.28,311.25,1,0
57.92,-55.46,311.67,1,0
59.86,-57.62,312.43,1,0
65.48,-63.24,318.13,1,0
67.67,-65.13,319.97,1,0
69.91,-66.97,321.03,1,0
72.21,-68.74,324.01,1,0
74.62,-70.37,327.95,1,0
77.15,-71.77,334.12,1,0
79.84,-72.83,343.25,1,0
82.69,-73.35,355.65,1,0
85.57,-73.22,9.65,1,0
88.32,-72.34,25.36,1,0
90.73,-70.74,41.18,1,0
92.61,-68.55,56.94,1,0
93.82,-65.93,72.76,1,0
94.27,-63.08,88.57,1,0
93.93,-60.21,104.39,1,0
92.82,-57.54,120.21,1,0
91.02,-55.28,136.03,1,0
88.68,-53.59,151.84,1,0
85.96,-52.60,167.66,1,0
83.08,-52.40,183.48,1,0
80.25,-52.98,199.29,1,0
77.69,-54.32,215.11,1,0
75.59,-56.30,230.93,1,0
74.11,-58.78,246.74,1,0
73.36,-61.57,262.56,1,0
73.40,-64.46,278.38,1,0
74.22,-67.23,294.20,1,0
75.77,-69.67,310.01,1,0
77.93,-71.59,325.79,1,0
80.51,-72.89,340.00,1,0
88.37,-73.33,11.62,1,0
91.14,-72.54,19.41,1,0
93.81,-71.42,25.09,1,0
96.41,-70.14,27.08,1,0
99.00,-68.83,25.78,1,0
101.64,-67.65,22.05,1,0
104.38,-66.70,16.66,1,0
107.19,-66.00,11.12,1,0
110.05,-65.59,5.44,1,0
112.95,-65.47,359.39,1,0
115.84,-65.65,354.28,1,0
118.71,-66.03,350.84,1,0
121.56,-66.54,349.12,1,0
124.40,-67.11,348.30,1,0
127.23,-67.71,348.30,1,0
130.07,-68.30,348.49,1,0
132.92,-68.84,350.05,1,0
135.78,-69.30,351.79,1,0
138.65,-69.66,353.74,1,0
141.54,-69.94,355.32,1,0
144.43,-70.14,356.64,1,0
147.33,-70.30,357.34,1,0
150.21,-70.41,357.82,1,0
153.11,-70.53,357.46,1,0
156.00,-70.68,356.68,1,0
158.90,-70.87,355.81,1,0
161.79,-71.10,354.89,1,0
164.67,-71.36,354.85,1,0
167.56,-71.64,354.63,1,0
170.45,-71.89,355.34,1,0
178.40,-72.34,358.38,1,0
181.29,-72.41,358.60,1,0
184.19,-72.49,358.29,1,0
